   -1.220889505    -0.075512297 force_Al8C40H24N16O40
   -7.781764361   -10.714610877 force_Al8C40H24N16O40
    6.816362408     7.821158179 force_Al8C40H24N16O40
    1.221028247     0.075589552 force_Al8C40H24N16O40
   -7.781610205   -10.714567819 force_Al8C40H24N16O40
   -6.816435929    -7.821171855 force_Al8C40H24N16O40
    1.221108882     0.075717415 force_Al8C40H24N16O40
    7.781658823    10.714480731 force_Al8C40H24N16O40
   -6.816680208    -7.821408715 force_Al8C40H24N16O40
   -1.220972513    -0.075644996 force_Al8C40H24N16O40
    7.781843811    10.714553752 force_Al8C40H24N16O40
    6.816611431     7.821389586 force_Al8C40H24N16O40
   -0.000049804    -0.000061545 force_Al8C40H24N16O40
    0.000077078     0.000071237 force_Al8C40H24N16O40
   -0.000253766    -0.000078939 force_Al8C40H24N16O40
    0.000033203    -0.000035763 force_Al8C40H24N16O40
   -0.000008301    -0.000055531 force_Al8C40H24N16O40
   -0.000098423    -0.000088155 force_Al8C40H24N16O40
   -0.000288155    -0.000329323 force_Al8C40H24N16O40
    0.000365233     0.000338722 force_Al8C40H24N16O40
    0.000530062     0.000805210 force_Al8C40H24N16O40
    0.000335587     0.000349906 force_Al8C40H24N16O40
    0.000476700     0.000300639 force_Al8C40H24N16O40
   -0.000647458    -0.000829191 force_Al8C40H24N16O40
    1.590195735     4.102882538 force_Al8C40H24N16O40
   11.635418871    10.903805100 force_Al8C40H24N16O40
   19.819160022    19.864769179 force_Al8C40H24N16O40
   -1.590177948    -4.102866503 force_Al8C40H24N16O40
   11.635391597    10.903768353 force_Al8C40H24N16O40
  -19.819099546   -19.864712914 force_Al8C40H24N16O40
   -1.590262141    -4.102936150 force_Al8C40H24N16O40
  -11.635386854   -10.903783359 force_Al8C40H24N16O40
  -19.819109032   -19.864705213 force_Al8C40H24N16O40
    1.590300088     4.102971320 force_Al8C40H24N16O40
  -11.635484091   -10.903895148 force_Al8C40H24N16O40
   19.819352125    19.864963671 force_Al8C40H24N16O40
   -7.103919310    -7.599519602 force_Al8C40H24N16O40
  -11.506721694   -12.529454416 force_Al8C40H24N16O40
   17.373416811    16.995510956 force_Al8C40H24N16O40
    7.103705862     7.599314467 force_Al8C40H24N16O40
  -11.506389664   -12.529113431 force_Al8C40H24N16O40
  -17.373049207   -16.995116658 force_Al8C40H24N16O40
    7.103679774     7.599273216 force_Al8C40H24N16O40
   11.506344603    12.529063547 force_Al8C40H24N16O40
  -17.372985172   -16.995062987 force_Al8C40H24N16O40
   -7.103810214    -7.599396340 force_Al8C40H24N16O40
   11.506539078    12.529262232 force_Al8C40H24N16O40
   17.373204549    16.995305197 force_Al8C40H24N16O40
  -11.415048228   -12.145188831 force_Al8C40H24N16O40
    7.766703246     7.910477507 force_Al8C40H24N16O40
   -1.815932219    -2.530567681 force_Al8C40H24N16O40
   11.415179854    12.145430541 force_Al8C40H24N16O40
