3.301392 1.382279 2.639419 1.327641 2.264665 2.832476 2.375639 4.565294 1.843370 1.081985 1.352870 1.264673 1.016174 0.967921 2.704252
3.277043 1.383389 2.652234 1.333631 2.257880 2.857057 2.366759 4.544262 1.830620 1.081993 1.353526 1.258721 1.022241 0.968258 2.746977
3.293772 1.383901 1.603262 1.328731 2.260384 2.855097 2.384324 4.491183 1.824692 1.081691 1.351728 1.262030 1.022330 0.970008 2.752402
3.294676 1.384404 2.714241 1.335092 2.266743 2.853322 2.379640 4.551942 1.838733 1.082507 1.356260 1.263836 1.020425 0.970405 2.759964
3.283505 1.387386 1.588036 1.336477 2.269319 2.870127 2.400623 4.528153 1.817547 1.082393 1.351437 1.266438 1.030584 0.968645 2.700966
3.274141 1.384112 1.556474 1.329085 2.268253 2.855964 2.370199 4.491945 1.814989 1.082182 1.345993 1.259131 1.021588 0.971234 2.620354
3.285146 1.352219 1.570373 1.324887 2.232422 2.874448 2.379243 4.515352 1.819627 0.929703 1.343295 1.246903 0.860425 0.929935 2.702813
3.285146 1.352218 1.558636 1.324887 2.232422 2.874448 2.379243 4.515352 1.819627 0.929703 1.343295 1.246903 0.860425 0.929935 2.702813
3.309133 1.377800 1.524261 1.332342 2.244964 2.863664 2.391668 4.525802 1.831623 0.939489 1.342522 1.253470 0.870010 0.939980 2.733630
3.309504 1.384944 1.587805 1.333618 2.276020 2.900123 2.419937 4.495745 1.842224 1.082187 1.352793 1.267589 1.020813 0.968324 2.765011
3.324367 1.388812 1.547383 1.329226 2.272247 2.898653 2.426284 4.529550 1.845563 1.082669 1.354346 1.265701 1.044143 0.967566 2.648382
3.308220 1.365868 1.547850 1.332100 2.240029 2.887509 2.382281 4.504688 1.828562 0.930192 1.335578 1.245105 0.859293 0.930199 2.687722
3.308220 1.365868 1.568326 1.332100 2.240029 2.887509 2.382281 4.504688 1.828562 0.930192 1.335578 1.245105 0.859293 0.930199 2.687722
3.306195 1.384249 1.589506 1.333355 2.277220 2.888430 2.426443 4.468330 1.840523 1.082347 1.353058 1.267405 1.019968 0.968316 2.756627
3.320339 1.388669 1.547232 1.329705 2.273422 2.886770 2.423497 4.488439 1.847825 1.082426 1.354843 1.265038 1.044063 0.967743 2.661628
3.306884 1.376066 1.569866 1.316086 2.239356 2.880037 2.382472 4.489817 1.830324 0.930110 1.330641 1.244533 0.859914 0.929949 2.682738
3.306884 1.376066 1.545595 1.316086 2.239356 2.880037 2.382472 4.489817 1.830324 0.930110 1.330641 1.244533 0.859914 0.929949 2.682738
3.207238 1.287474 2.588533 1.292188 2.093145 2.748287 2.213853 4.403472 1.673463 1.037247 1.256642 1.130971 0.896047 0.890933 2.480018
3.216290 1.240503 2.549795 1.207342 2.129896 2.740204 2.273792 4.422518 1.647835 1.002868 1.201427 1.093442 0.911894 0.887496 2.567561
3.157297 1.261259 2.522435 1.205313 2.176613 2.702824 2.278603 4.434101 1.726204 0.998901 1.214423 1.101062 0.957227 0.888884 2.595361
3.173827 1.195247 2.567195 1.209755 2.140812 2.798554 2.229578 4.433503 1.691680 1.004837 1.248309 1.111889 0.872674 0.935222 2.643733
3.190476 1.280587 2.584207 1.303317 2.142233 2.762203 2.232435 4.404198 1.761366 1.037569 1.259671 1.086594 0.878719 0.902566 2.638493
3.194867 1.245124 2.569691 1.142208 2.143599 2.738554 2.324305 4.504460 1.681440 0.938488 1.230766 1.118236 1.034419 0.871834 2.701423
3.218308 1.269306 2.490938 1.154515 2.162835 2.730448 2.299093 4.423366 1.713131 0.998871 1.219006 1.043679 0.874629 0.870194 2.655038
3.197363 1.288376 2.560728 1.153888 2.102269 2.739127 2.249924 4.438411 1.692108 0.964988 1.188953 1.099956 0.904850 0.928187 2.589657
3.163397 1.229266 2.558996 1.267621 2.152925 2.652316 2.183939 4.457806 1.700343 1.031149 1.165346 1.135066 0.877858 0.862931 2.676896
3.188035 1.278800 2.551474 1.278649 2.126229 2.798963 2.243493 4.371396 1.751190 1.025223 1.227777 1.125339 0.919001 0.897335 2.692253
3.193047 1.193238 1.501868 1.161671 2.139038 2.766913 2.323745 4.444624 1.642238 0.943893 1.218118 1.124513 0.857361 0.871293 2.594017
3.231607 1.304627 1.549015 1.344588 2.118881 2.744542 2.320587 4.324463 1.710693 0.974795 1.204909 1.093463 0.872674 0.875210 2.647752
3.191990 1.248068 1.515950 1.181136 2.097651 2.754038 2.301539 4.392108 1.747135 0.987443 1.212841 1.099698 0.925915 0.845846 2.619496
3.226659 1.227604 1.531603 1.181378 2.172282 2.714401 2.291585 4.344335 1.710844 0.969270 1.193794 1.107292 0.850718 0.853808 2.605283
