-159121.642081890 -159118.437141400 energy_Al8C40H24N16O40
-159121.642081890 -159118.437141400 energy_Al8C40H24N16O40
-159121.642081890 -159118.437141400 energy_Al8C40H24N16O40
-158655.740413100 -158651.337299500 energy_Al8C40H24N16O40
-158655.740413100 -158651.337299500 energy_Al8C40H24N16O40
-158655.740413100 -158651.337299500 energy_Al8C40H24N16O40
-178366.000029330 -178366.823850900 energy_Al8C40H40N16O48
-178366.000029330 -178366.823850900 energy_Al8C40H40N16O48
-178366.000029330 -178366.823850900 energy_Al8C40H40N16O48
-160577.465168440 -160581.158806800 energy_Al8C48H24N0O48
-160577.465168440 -160581.158806800 energy_Al8C48H24N0O48
-160577.465168440 -160581.158806800 energy_Al8C48H24N0O48
-158696.320678830 -158695.871938400 energy_Al8C40H24N16O40
-158696.320678830 -158695.871938400 energy_Al8C40H24N16O40
-158696.320678830 -158695.871938400 energy_Al8C40H24N16O40
-178884.512835380 -178889.496828500 energy_Al8C40H40N16O48
-178884.512835380 -178889.496828500 energy_Al8C40H40N16O48
-178884.512835380 -178889.496828500 energy_Al8C40H40N16O48
-160395.846744400 -160391.198037300 energy_Al8C48H24N0O48
-160395.846744400 -160391.198037300 energy_Al8C48H24N0O48
-160395.846744400 -160391.198037300 energy_Al8C48H24N0O48
-158548.836998970 -158549.063406300 energy_Al8C40H24N16O40
-158548.836998970 -158549.063406300 energy_Al8C40H24N16O40
-158548.836998970 -158549.063406300 energy_Al8C40H24N16O40
-178970.391626980 -178966.717078500 energy_Al8C40H40N16O48
-178970.391626980 -178966.717078500 energy_Al8C40H40N16O48
-178970.391626980 -178966.717078500 energy_Al8C40H40N16O48
-160309.748874250 -160309.302079000 energy_Al8C48H24N0O48
-160309.748874250 -160309.302079000 energy_Al8C48H24N0O48
-160309.748874250 -160309.302079000 energy_Al8C48H24N0O48
-158690.430924970 -158691.319627400 energy_Al8C40H24N16O40
-158690.430924970 -158691.319627400 energy_Al8C40H24N16O40
